areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000001,North East,region,29/11/2021,10392
E12000001,North East,region,28/11/2021,11781
E12000001,North East,region,27/11/2021,17821
E12000001,North East,region,26/11/2021,14960
E12000001,North East,region,25/11/2021,16516
E12000001,North East,region,24/11/2021,15251
E12000001,North East,region,23/11/2021,12713
E12000001,North East,region,22/11/2021,12087
E12000001,North East,region,21/11/2021,10671
E12000001,North East,region,20/11/2021,17095
E12000001,North East,region,19/11/2021,13549
E12000001,North East,region,18/11/2021,13287
E12000001,North East,region,17/11/2021,16060
E12000001,North East,region,16/11/2021,14158
E12000001,North East,region,15/11/2021,10591
E12000001,North East,region,14/11/2021,9867
E12000001,North East,region,13/11/2021,20097
E12000001,North East,region,12/11/2021,12849
E12000001,North East,region,11/11/2021,16316
E12000001,North East,region,10/11/2021,15961
E12000001,North East,region,09/11/2021,14555
E12000001,North East,region,08/11/2021,10468
E12000001,North East,region,07/11/2021,9032
E12000001,North East,region,06/11/2021,17342
E12000001,North East,region,05/11/2021,12556
E12000001,North East,region,04/11/2021,15475
E12000001,North East,region,03/11/2021,13465
E12000001,North East,region,02/11/2021,11604
E12000001,North East,region,01/11/2021,8366
E12000001,North East,region,31/10/2021,8334
E12000001,North East,region,30/10/2021,15640
E12000001,North East,region,29/10/2021,10477
E12000001,North East,region,28/10/2021,12466
E12000001,North East,region,27/10/2021,10488
E12000001,North East,region,26/10/2021,9938
E12000001,North East,region,25/10/2021,7190
E12000001,North East,region,24/10/2021,6499
E12000001,North East,region,23/10/2021,15536
E12000001,North East,region,22/10/2021,11287
E12000001,North East,region,21/10/2021,13888
E12000001,North East,region,20/10/2021,12122
E12000001,North East,region,19/10/2021,9435
E12000001,North East,region,18/10/2021,6265
E12000001,North East,region,17/10/2021,5244
E12000001,North East,region,16/10/2021,15080
E12000001,North East,region,15/10/2021,9484
E12000001,North East,region,14/10/2021,11479
E12000001,North East,region,13/10/2021,9487
E12000001,North East,region,12/10/2021,8949
E12000001,North East,region,11/10/2021,6570
E12000001,North East,region,10/10/2021,5280
E12000001,North East,region,09/10/2021,14599
E12000001,North East,region,08/10/2021,9694
E12000001,North East,region,07/10/2021,10166
E12000001,North East,region,06/10/2021,8591
E12000001,North East,region,05/10/2021,8777
E12000001,North East,region,04/10/2021,6280
E12000001,North East,region,03/10/2021,5943
E12000001,North East,region,02/10/2021,12740
E12000001,North East,region,01/10/2021,8273
E12000001,North East,region,30/09/2021,10073
E12000001,North East,region,29/09/2021,7491
E12000001,North East,region,28/09/2021,7410
E12000001,North East,region,27/09/2021,7130
E12000001,North East,region,26/09/2021,2454
E12000001,North East,region,25/09/2021,5576
E12000001,North East,region,24/09/2021,4511
E12000001,North East,region,23/09/2021,3680
E12000001,North East,region,22/09/2021,2233
E12000001,North East,region,21/09/2021,1263
